19:14:11 - Generate piattaforme Mantello da 650 a -850
19:14:11 - Generate piattaforme Crosta da -970 a -2470
19:14:11 - Generate piattaforme Vulcano da -2590 a -3590
19:14:11 - Rimbalzo - Pos Y: 717.1825157324799, Velocità Y: -14, Piattaforma Y: 750
19:14:27 - Generate piattaforme Crosta da -970 a -2470
19:14:27 - Generate piattaforme Vulcano da -2590 a -3590
19:14:27 - Rimbalzo - Pos Y: 717.1825157324799, Velocità Y: -14, Piattaforma Y: 750
19:14:27 - Rimbalzo - Pos Y: 710.3507182251163, Velocità Y: -14, Piattaforma Y: 750
19:14:28 - Rimbalzo - Pos Y: 612.4792376559362, Velocità Y: -14, Piattaforma Y: 650
19:14:28 - Rimbalzo - Pos Y: 609.0835359883351, Velocità Y: -14, Piattaforma Y: 650
19:14:29 - Rimbalzo - Pos Y: 609.5462209222278, Velocità Y: -14, Piattaforma Y: 650
19:14:30 - GAME OVER - Pos Y: 848.3462209222278, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:30 - GAME OVER - Pos Y: 863.3462209222278, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:30 - GAME OVER - Pos Y: 878.3462209222278, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:30 - GAME OVER - Pos Y: 893.3462209222278, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:30 - GAME OVER - Pos Y: 908.3462209222278, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:30 - GAME OVER - Pos Y: 923.3462209222278, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:30 - GAME OVER - Pos Y: 938.3462209222278, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:30 - GAME OVER - Pos Y: 953.3462209222278, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:30 - GAME OVER - Pos Y: 968.3462209222278, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:30 - Resettando il gioco - Inizializzazione piattaforme statiche
19:14:30 - Generate piattaforme Mantello da 650 a -850
19:14:30 - Generate piattaforme Crosta da -970 a -2470
19:14:30 - Generate piattaforme Vulcano da -2590 a -3590
19:14:30 - Rimbalzo - Pos Y: 717.1825157324799, Velocità Y: -14, Piattaforma Y: 750
19:14:30 - Rimbalzo - Pos Y: 710.4405363948736, Velocità Y: -14, Piattaforma Y: 750
19:14:31 - Rimbalzo - Pos Y: 709.7396950274205, Velocità Y: -14, Piattaforma Y: 750
