07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Rimbalzo - Pos Y: 512.7764781351094, Velocità Y: -14, Piattaforma Y: 551.2746208629121
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Rimbalzo - Pos Y: 431.07784179338586, Velocità Y: -14, Piattaforma Y: 471.2746208629121
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:55 - Background - Altezza: -0.8km, Livello: Mantello
07:40:56 - Background - Altezza: -0.8km, Livello: Mantello
07:40:56 - Background - Altezza: -0.8km, Livello: Mantello
07:40:56 - Background - Altezza: -0.8km, Livello: Mantello
07:40:56 - Background - Altezza: -0.8km, Livello: Mantello
07:40:56 - Background - Altezza: -0.8km, Livello: Mantello
07:40:56 - Background - Altezza: -0.8km, Livello: Mantello
07:40:56 - Background - Altezza: -0.8km, Livello: Mantello
07:40:56 - Background - Altezza: -0.8km, Livello: Mantello
07:40:56 - Stato gioco - Altezza: -0.04 km, World offset: 41.55126832489633, Player y: 319.3544892553701, Velocità y: -2.7999999999999963
07:40:56 - Altezza attuale: 0.8km, Livello: Mantello
07:40:56 - Background - Altezza: -0.8km, Livello: Mantello
07:40:56 - Stato gioco - Altezza: -0.04 km, World offset: 42.3449215482853, Player y: 318.14814247875904, Velocità y: -1.9999999999999962
07:40:56 - Altezza attuale: 0.8km, Livello: Mantello
07:40:56 - Background - Altezza: -0.8km, Livello: Mantello
07:40:56 - Stato gioco - Altezza: -0.04 km, World offset: 43.26047880465758, Player y: 317.8636997351313, Velocità y: -1.1999999999999962
07:40:56 - Altezza attuale: 0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Stato gioco - Altezza: -0.04 km, World offset: 44.021368884118175, Player y: 318.2245898145919, Velocità y: -0.39999999999999614
07:40:56 - Altezza attuale: 0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Stato gioco - Altezza: -0.04 km, World offset: 44.43399193974061, Player y: 319.0372128702143, Velocità y: 0.4000000000000039
07:40:56 - Altezza attuale: 0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Rimbalzo - Pos Y: 432.7519932404712, Velocità Y: -14, Piattaforma Y: 474.4339919397406
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
07:40:56 - Background - Altezza: -0.9km, Livello: Mantello
